# $Id$
# $Revision$
# $Author$
# $Date$
# IFUSLOT X_FP   Y_FP   SPECID SPECSLOT IFUID IFUROT  PLATESC
000	   0.000	   0.000	900	900	900	0.000	1.000
013	-450.000	 150.000	401	241	043	0.000	1.000
021	-349.910	 350.210	315	218	073	0.000	1.000
022	-349.920	 249.980	316	247	052	0.000	1.000
023	-350.170	 150.050	313	255	010	0.000	1.000
024	-349.880	  49.990	317	234	039	0.000	1.000
025	-349.930	 -50.160	303	254	013	0.000	1.000
026	-349.780	-150.260	318	244	078	0.000	1.000
027	-349.890	-250.320	314	253	011	0.000	1.000
032	-250.020	 250.060	320	236	020	0.000	1.000
033	-249.800	 149.930	310	257	002	0.000	1.000
034	-250.360	  50.310	305	248	056	0.000	1.000
035	-249.740	 -49.980	202	238	074	0.000	1.000
036	-249.730	-150.010	302	235	041	0.000	1.000
037	-249.710	-250.340	306	228	057	0.000	1.000
042	-149.990	 250.010	321	243	030	0.000	1.000
043	-149.990	 150.270	323	231	040	0.000	1.000
044	-149.800	  50.100	304	256	045	0.000	1.000
045	-150.000	 -50.000	312	237	065	0.000	1.000
046	-149.670	-150.160	309	258	005	0.000	1.000
047	-149.720	-250.260	308	227	024	0.000	1.000
052	 -50.040	 249.890	301	233	072	0.000	1.000
053	 -49.790	 150.000	311	245	025	0.000	1.000
062	  50.000	 250.000	319	137	023	0.000	1.000
063	  50.000	 150.000	041	133	015	0.000	1.000
067	  50.000	-250.000	025	154	032	0.000	1.000
075	 150.000	 -50.000	324	156	055	0.000	1.000
076	 150.000	-150.000	325	147	044	0.000	1.000
082	 250.000	 250.000	326	146	034	0.000	1.000
083	 250.000	 150.000	328	112	048	0.000	1.000
084	 250.000	  50.000	322	128	062	0.000	1.000
085	 250.000	 -50.000	307	131	076	0.000	1.000
086	 250.000	-150.000	203	151	031	0.000	1.000
087	 250.000	-250.000	204	145	037	0.000	1.000
088	 250.000	-350.000	329	144	029	0.000	1.000
091	 350.000	 350.000	205	113	058	0.000	1.000
092	 350.000	 250.000	047	132	075	0.000	1.000
093	 350.000	 150.000	008	157	054	0.000	1.000
094	 350.000	  50.000	032	155	028	0.000	1.000
095	 350.000	 -50.000	020	158	004	0.000	1.000
096	 350.000	-150.000	038	134	014	0.000	1.000
097	 350.000	-250.000	017	135	022	0.000	1.000
098	 350.000	-350.000	027	122	001	0.000	1.000
103	 450.000	 150.000	013	152	019	0.000	1.000
104	 450.000	  50.000	016	153	026	0.000	1.000
106	 450.000	-150.000	012	136	033	0.000	1.000
